site,sample,Cover%,Richness,Biomass,Fungal,TOC,N,CN,NH4,NO3,TP,AP,pH,Ca,Al,K,Mg,Na,temperature,precipitation
A,A-1-P,90,15,165.22,801.77,4.231034075,0.42762305,9.894307781,2.12194228,43.82669853,1442.370798,4.566167585,7.46,2593.726596,116.4905707,198.11529,352.6228532,212.8544983,2.7,246
A,A-2-P,98,13,256.2,876.35,4.404414698,0.463577653,9.500921081,16.08309006,40.99287582,1415.524179,5.596562441,7.52,3727.24602,89.30499639,229.3131028,396.4930322,202.0599269,2.7,246
A,A-3-P,97,11,237.7,932.74,4.722288475,0.430769192,10.96245637,1.491316674,48.11624632,1490.422041,7.379572916,7.48,4075.658074,130.7664525,189.1896928,407.5402028,189.5961153,2.7,246
A,A-4-P,96,12,181.9,861.78,4.400416178,0.474345766,9.276811328,1.267174275,48.93820649,1024.456293,4.362974233,7.62,4442.575799,91.4617522,192.2573715,407.1392253,181.5031333,2.7,246
A,A-5-P,98,14,281.3,940.33,3.327011358,0.441850585,7.529720394,1.447679041,101.9825125,738.1756202,9.087178916,7.98,5166.929411,173.2599656,220.2353788,414.1360563,197.4594209,2.7,246
A,A-6-P,95,11,312.96,907.25,4.532432132,0.433954995,10.44447509,1.07611451,49.74151799,862.0980904,6.006302777,7.6,3760.910391,55.65535169,179.7204065,420.5681273,203.8255205,2.7,246
B,B-1-P,45,13,79.54,850,3.349898231,0.256914906,13.03894074,3.267647428,27.05814028,538.6874,0.864908254,7.63,21341.96492,14.41771661,208.7872582,724.040024,217.6393495,2,332
B,B-2-P,60,11,58.94,741.94,3.252951042,0.287051798,11.33227891,24.49876157,30.07765252,821.8002459,1.577687445,7.85,8299.567376,40.44517604,423.2803115,1176.422354,220.0198907,2,332
B,B-3-P,60,12,76.24,893.66,3.290004675,0.233406975,14.09557137,0.672380205,22.608275,768.5396826,0.882363209,7.69,15470.89585,97.88868625,181.9477144,703.4155752,221.3153252,2,332
B,B-4-P,65,14,64.62,740.3,3.055888928,0.246848748,12.37960069,1.102308208,31.01358714,747.9026059,1.775005062,7.38,20541.85991,34.32693145,206.9202136,710.5042526,207.3281392,2,332
B,B-5-P,45,10,61.5,857.33,4.129789637,0.303068484,13.62658891,0.771350208,37.66236156,644.2807903,1.599307174,7.16,16881.03062,77.76023742,227.1108836,641.968124,218.6464905,2,332
B,B-6-P,60,11,50,490.81,3.260742507,0.293835545,11.09716833,1.21362538,43.39493178,760.9356275,2.122501053,7.34,17477.51217,108.9552342,254.2968281,653.4256372,224.8412035,2,332
D,D-1-P,36,9,89.42,798.83,2.823602908,0.370438203,7.622331839,2.249463246,49.88727856,1411.267235,1.773205486,7.32,1819.199134,126.0400974,185.2871011,355.7879448,181.6160303,1.7,350
D,D-2-P,30,8,48.38,661.74,2.850397459,0.298205799,9.558491052,0.927919209,32.93453296,1064.149745,0.297953286,7.45,1976.420459,163.5998061,159.1064281,376.6267695,186.3730625,1.7,350
D,D-3-P,28,8,57.16,713.7,2.747169312,0.302833468,9.071551208,0.929946715,32.25937182,1137.995691,0.623162574,6.59,1553.761117,132.5978236,270.6993232,385.3592399,230.6447923,1.7,350
D,D-4-P,22,9,51.74,678.95,2.782250797,0.327852333,8.4862925,0.991764087,39.18028745,1218.134763,0.320281993,7.41,1883.092152,141.166828,162.9631492,411.7875076,218.065064,1.7,350
D,D-5-P,28,10,50.86,710.95,2.822884271,0.348736362,8.094608363,0.496639564,37.97587037,1178.863079,1.325556424,7.56,2262.315012,101.017531,183.2135679,386.9429727,213.9362888,1.7,350
D,D-6-P,30,10,41.98,658.85,3.307374613,0.328436972,10.07004357,0.575889698,25.33062402,1292.892101,0.982931339,7.34,2087.999485,99.880179,144.6857631,397.2727734,203.9497057,1.7,350
E,E-1-P,9,7,40.88,533,2.28146786,0.388248299,5.876311277,15.03225354,22.76699375,785.6710223,2.184469094,7.59,20397.56645,2.880031118,140.3014103,864.9217,215.1153126,2.9,241
E,E-2-P,13,8,57.44,659.06,2.659186226,0.359088909,7.405369987,1.791251167,43.34527117,954.3245177,2.419093305,7.59,19546.00471,6.649171201,224.8389958,892.5855504,205.5382101,2.9,241
E,E-3-P,7,6,44.68,640,2.821774697,0.297746095,9.477117412,0.727410028,39.55163121,751.8555823,2.004221396,7.34,21743.74703,0.600200765,146.726932,1114.802427,204.7329119,2.9,241
E,E-4-P,7,7,49.54,679.69,2.742921029,0.181389138,15.12174903,0.838359449,35.08767958,1035.935383,0.140434615,7.54,21607.04151,1.431050301,176.2610547,926.9577937,223.5260259,2.9,241
E,E-5-P,16,6,71.36,752.35,2.625401651,0.353788789,7.420816415,0.833452026,41.63569208,1104.244542,2.880787612,7.62,19985.08699,0.871570223,170.0624825,867.622344,192.7374802,2.9,241
E,E-6-P,13,8,46.36,711.53,1.604124994,0.347290155,4.618976303,0.737657921,37.70630464,1233.315608,2.809334526,7.27,20837.67451,1.571344216,180.3911249,840.8814992,197.0752816,2.9,241
